35650               ,FORKLIFT PSN WAREHOUSE                  
BBC1907          ,"WAGON, BULK BULK WAGON BBC 21907        "
BBC1908          ,"WAGON, BULK BULK WAGON BBC 21908        "
BBC1909          ,"WAGON, BULK BULK WAGON BBC 21909        "
BBC1910          ,"WAGON, BULK BULK WAGON BBC 21910        "
BBC1911          ,"WAGON, BULK BULK WAGON BBC 21911        "
BBC1912          ,"WAGON, BULK BULK WAGON BBC 21912        "
BBC1913          ,"WAGON, BULK BULK WAGON BBC 21913        "
BBC1914          ,"WAGON, BULK BULK WAGON BBC 21914        "
BBC1915          ,"WAGON, BULK BULK WAGON BBC 21915        "
BBC1916          ,"WAGON, BULK BULK WAGON BBC 21916        "
BBC1917          ,"WAGON, BULK BULK WAGON BBC 21917        "
BBC1918          ,"WAGON, BULK BULK WAGON BBC 21918        "
BBC1919          ,"WAGON, BULK BULK WAGON BBC 21919        "
BBC1920          ,"WAGON, BULK BULK WAGON BBC 21920        "
BBC1921          ,"WAGON, BULK BULK WAGON BBC 21921        "
BBC1922          ,"WAGON, BULK BULK WAGON BBC 21922        "
BBC1923          ,"WAGON, BULK BULK WAGON BBC 21923        "
BBC1924          ,"WAGON, BULK BULK WAGON BBC 21924        "
BBC1925          ,"WAGON, BULK BULK WAGON BBC 21925        "
BBC1926          ,"WAGON, BULK BULK WAGON BBC 21926        "
BBC1927          ,"WAGON, BULK BULK WAGON BBC 21927        "
BBC1928          ,"WAGON, BULK BULK WAGON BBC 21928        "
BBC1929          ,"WAGON, BULK BULK WAGON BBC 21929        "
BBC1930          ,"WAGON, BULK BULK WAGON BBC 21930        "
BBC1931          ,"WAGON, BULK BULK WAGON BBC 21931        "
BBC1932          ,"WAGON, BULK BULK WAGON BBC 21932        "
BBC1933          ,"WAGON, BULK BULK WAGON BBC 21933        "
BBC1934          ,"WAGON, BULK BULK WAGON BBC 21934        "
BBC1935          ,"WAGON, BULK BULK WAGON BBC 21935        "
BBC1936          ,"WAGON, BULK BULK WAGON BBC 21936        "
BBC1937          ,"WAGON, BULK BULK WAGON BBC 21937        "
BBC1938          ,"WAGON, BULK BULK WAGON BBC 21938        "
BBC1939          ,"WAGON, BULK BULK WAGON BBC 21939        "
BBC1940          ,"WAGON, BULK BULK WAGON BBC 21940        "
BBC1941          ,"WAGON, BULK BULK WAGON BBC 21941        "
BBC1942          ,"WAGON, BULK BULK WAGON BBC 21942        "
BBC1943          ,"WAGON, BULK BULK WAGON BBC 21943        "
BBC1944          ,"WAGON, BULK BULK WAGON BBC 21944        "
BBC1945          ,"WAGON, BULK BULK WAGON BBC 21945        "
BBC1946          ,"WAGON, BULK BULK WAGON BBC 21946        "
BBC1947          ,"WAGON, BULK BULK WAGON BBC 21947        "
BBC1948          ,"WAGON, BULK BULK WAGON BBC 21948        "
BBC1949          ,"WAGON, BULK BULK WAGON BBC 21949        "
BBC1950          ,"WAGON, BULK BULK WAGON BBC 21950        "
BBC1951          ,"WAGON, BULK BULK WAGON BBC 21951        "
BBC1952          ,"WAGON, BULK BULK WAGON BBC 21952        "
BBC1953          ,"WAGON, BULK BULK WAGON BBC 21953        "
BBC1954          ,"WAGON, BULK BULK WAGON BBC 21954        "
BBC1955          ,"WAGON, BULK BULK WAGON BBC 21955        "
BBC1956          ,"WAGON, BULK BULK WAGON BBC 21956        "
BBC1957          ,"WAGON, BULK BULK WAGON BBC 21957        "
BBC1958          ,"WAGON, BULK BULK WAGON BBC 21958        "
BBC1959          ,"WAGON, BULK BULK WAGON BBC 21959        "
BBC1960          ,"WAGON, BULK BULK WAGON BBC 21960        "
BBC1961          ,"WAGON, BULK BULK WAGON BBC 21961        "
BBC1962          ,"WAGON, BULK BULK WAGON BBC 21962        "
BBC1963          ,"WAGON, BULK BULK WAGON BBC 21963        "
BBC1964          ,"WAGON, BULK BULK WAGON BBC 21964        "
BBC1965          ,"WAGON, BULK BULK WAGON BBC 21965        "
BBC1966          ,"WAGON, BULK BULK WAGON BBC 21966        "
BBC1967          ,"WAGON, BULK BULK WAGON BBC 21967        "
BBC2001          ,"WAGON, BULK BULK WAGON BBC 22001        "
BBC2002          ,"WAGON, BULK BULK WAGON BBC 22002        "
BBC2003          ,"WAGON, BULK BULK WAGON BBC 22003        "
BBC2004          ,"WAGON, BULK BULK WAGON BBC 22004        "
BBC2005          ,"WAGON, BULK BULK WAGON BBC 22005        "
BBC2006          ,"WAGON, BULK BULK WAGON BBC 22006        "
BBC2007          ,"WAGON, BULK BULK WAGON BBC 22007        "
BBC2008          ,"WAGON, BULK BULK WAGON BBC 22008        "
BBC2009          ,"WAGON, BULK BULK WAGON BBC 22009        "
BBC2010          ,"WAGON, BULK BULK WAGON BBC 22010        "
BBC2011          ,"WAGON, BULK BULK WAGON BBC 22011        "
BBC2012          ,"WAGON, BULK BULK WAGON BBC 22012        "
BBC2013          ,"WAGON, BULK BULK WAGON BBC 22013        "
BBC2014          ,"WAGON, BULK BULK WAGON BBC 22014        "
BBC2015          ,"WAGON, BULK BULK WAGON BBC 22015        "
BBC2016          ,"WAGON, BULK BULK WAGON BBC 22016        "
BBC2017          ,"WAGON, BULK BULK WAGON BBC 22017        "
BBC2018          ,"WAGON, BULK BULK WAGON BBC 22018        "
BBC2019          ,"WAGON, BULK BULK WAGON BBC 22019        "
BBC2020          ,"WAGON, BULK BULK WAGON BBC 22020        "
BBC2021          ,"WAGON, BULK BULK WAGON BBC 22021        "
BBC2022          ,"WAGON, BULK BULK WAGON BBC 22022        "
BBC2023          ,"WAGON, BULK BULK WAGON BBC 22023        "
BBC2024          ,"WAGON, BULK BULK WAGON BBC 22024        "
BBC2025          ,"WAGON, BULK BULK WAGON BBC 22025        "
BBC2026          ,"WAGON, BULK BULK WAGON BBC 22026        "
BBC2027          ,"WAGON, BULK BULK WAGON BBC 22027        "
BBC2028          ,"WAGON, BULK BULK WAGON BBC 22028        "
BBC2029          ,"WAGON, BULK BULK WAGON BBC 22029        "
BBC2030          ,"WAGON, BULK BULK WAGON BBC 22030        "
BBC2031          ,"WAGON, BULK BULK WAGON BBC 22031        "
BBC2032          ,"WAGON, BULK BULK WAGON BBC 22032        "
BBC2033          ,"WAGON, BULK BULK WAGON BBC 22033        "
BBC2034          ,"WAGON, BULK BULK WAGON BBC 22034        "
BBC2035          ,"WAGON, BULK BULK WAGON BBC 22035        "
BBC2036          ,"WAGON, BULK BULK WAGON BBC 22036        "
BBC2037          ,"WAGON, BULK BULK WAGON BBC 22037        "
BBC2038          ,"WAGON, BULK BULK WAGON BBC 22038        "
BBC2039          ,"WAGON, BULK BULK WAGON BBC 22039        "
BBC2040          ,"WAGON, BULK BULK WAGON BBC 22040        "
BBC2041          ,"WAGON, BULK BULK WAGON BBC 22041        "
BBC2042          ,"WAGON, BULK BULK WAGON BBC 22042        "
BBC2043          ,"WAGON, BULK BULK WAGON BBC 22043        "
BBC2044          ,"WAGON, BULK BULK WAGON BBC 22044        "
BBC2045          ,"WAGON, BULK BULK WAGON BBC 22045        "
BBC2046          ,"WAGON, BULK BULK WAGON BBC 22046        "
BBC2047          ,"WAGON, BULK BULK WAGON BBC 22047        "
BBC2048          ,"WAGON, BULK BULK WAGON BBC 22048        "
BBC2049          ,"WAGON, BULK BULK WAGON BBC 22049        "
BBC2050          ,"WAGON, BULK BULK WAGON BBC 22050        "
BBC2051          ,"WAGON, BULK BULK WAGON BBC 22051        "
BBC2052          ,"WAGON, BULK BULK WAGON BBC 22052        "
BBC2053          ,"WAGON, BULK BULK WAGON BBC 22053        "
BBC2054          ,"WAGON, BULK BULK WAGON BBC 22054        "
BBC2055          ,"WAGON, BULK BULK WAGON BBC 22055        "
BBC2056          ,"WAGON, BULK BULK WAGON BBC 22056        "
BBC2057          ,"WAGON, BULK BULK WAGON BBC 22057        "
BBC2058          ,"WAGON, BULK BULK WAGON BBC 22058        "
BBC2059          ,"WAGON, BULK BULK WAGON BBC 22059        "
BBC2060          ,"WAGON, BULK BULK WAGON BBC 22060        "
BBC2061          ,"WAGON, BULK BULK WAGON BBC 22061        "
BBC2062          ,"WAGON, BULK BULK WAGON BBC 22062        "
BBC2063          ,"WAGON, BULK BULK WAGON BBC 22063        "
BBC2064          ,"WAGON, BULK BULK WAGON BBC 22064        "
BBC2065          ,"WAGON, BULK BULK WAGON BBC 22065        "
BBC2066          ,"WAGON, BULK BULK WAGON BBC 22066        "
BBC2067          ,"WAGON, BULK BULK WAGON BBC 22067        "
BBC2068          ,"WAGON, BULK BULK WAGON BBC 22068        "
BBC2069          ,"WAGON, BULK BULK WAGON BBC 22069        "
BBC2070          ,"WAGON, BULK BULK WAGON BBC 22070        "
BBC2071          ,"WAGON, BULK BULK WAGON BBC 22071        "
BBC2072          ,"WAGON, BULK BULK WAGON BBC 22072        "
BBC2073          ,"WAGON, BULK BULK WAGON BBC 22073        "
BBC2074          ,"WAGON, BULK BULK WAGON BBC 22074        "
BBC2075          ,"WAGON, BULK BULK WAGON BBC 22075        "
BBC2076          ,"WAGON, BULK BULK WAGON BBC 22076        "
BBC2077          ,"WAGON, BULK BULK WAGON BBC 22077        "
BBC2078          ,"WAGON, BULK BULK WAGON BBC 22078        "
BBC2079          ,"WAGON, BULK BULK WAGON BBC 22079        "
BBC2080          ,"WAGON, BULK BULK WAGON BBC 22080        "
BBC2081          ,"WAGON, BULK BULK WAGON BBC 22081        "
BBC2082          ,"WAGON, BULK BULK WAGON BBC 22082        "
BBC2083          ,"WAGON, BULK BULK WAGON BBC 22083        "
BBC2084          ,"WAGON, BULK BULK WAGON BBC 22084        "
BBC2085          ,"WAGON, BULK BULK WAGON BBC 22085        "
BBC2086          ,"WAGON, BULK BULK WAGON BBC 22086        "
BBC2087          ,"WAGON, BULK BULK WAGON BBC 22087        "
BBC2088          ,"WAGON, BULK BULK WAGON BBC 22088        "
BBC2089          ,"WAGON, BULK BULK WAGON BBC 22089        "
BBC2090          ,"WAGON, BULK BULK WAGON BBC 22090        "
BBC2091          ,"WAGON, BULK BULK WAGON BBC 22091        "
BBC2092          ,"WAGON, BULK BULK WAGON BBC 22092        "
BBC2093          ,"WAGON, BULK BULK WAGON BBC 22093        "
BBC2094          ,"WAGON, BULK BULK WAGON BBC 22094        "
BBC2095          ,"WAGON, BULK BULK WAGON BBC 22095        "
BBC2096          ,"WAGON, BULK BULK WAGON BBC 22096        "
BBC2097          ,"WAGON, BULK BULK WAGON BBC 22097        "
BBC2098          ,"WAGON, BULK BULK WAGON BBC 22098        "
BBC2099          ,"WAGON, BULK BULK WAGON BBC 22099        "
BBC2100          ,"WAGON, BULK BULK WAGON BBC 22100        "
BBC2101          ,"WAGON, BULK BULK WAGON BBC 22101        "
BBC2102          ,"WAGON, BULK BULK WAGON BBC 22102        "
BBC2103          ,"WAGON, BULK BULK WAGON BBC 22103        "
BBC2104          ,"WAGON, BULK BULK WAGON BBC 22104        "
BBC2105          ,"WAGON, BULK BULK WAGON BBC 22105        "
BBC2106          ,"WAGON, BULK BULK WAGON BBC 22106        "
BBC2107          ,"WAGON, BULK BULK WAGON BBC 22107        "
BBC2108          ,"WAGON, BULK BULK WAGON BBC 22108        "
BBC2109          ,"WAGON, BULK BULK WAGON BBC 22109        "
BBC2110          ,"WAGON, BULK BULK WAGON BBC 22110        "
BBC2111          ,"WAGON, BULK BULK WAGON BBC 22111        "
BBC2112          ,"WAGON, BULK BULK WAGON BBC 22112        "
BBC2113          ,"WAGON, BULK BULK WAGON BBC 22113        "
BBC2114          ,"WAGON, BULK BULK WAGON BBC 22114        "
BBC2115          ,"WAGON, BULK BULK WAGON BBC 22115        "
BBC2116          ,"WAGON, BULK BULK WAGON BBC 22116        "
BBC2117          ,"WAGON, BULK BULK WAGON BBC 22117        "
BBC2118          ,"WAGON, BULK BULK WAGON BBC 22118        "
BBC2119          ,"WAGON, BULK BULK WAGON BBC 22119        "
BBC2120          ,"WAGON, BULK BULK WAGON BBC 22120        "
BBC2121          ,"WAGON, BULK BULK WAGON BBC 22121        "
BBC2122          ,"WAGON, BULK BULK WAGON BBC 22122        "
BBC2123          ,"WAGON, BULK BULK WAGON BBC 22123        "
BBC2124          ,"WAGON, BULK BULK WAGON BBC 22124        "
BBC2125          ,"WAGON, BULK BULK WAGON BBC 22125        "
BBC2126          ,"WAGON, BULK BULK WAGON BBC 22126        "
BBC2127          ,"WAGON, BULK BULK WAGON BBC 22127        "
BBC2128          ,"WAGON, BULK BULK WAGON BBC 22128        "
BBC2129          ,"WAGON, BULK BULK WAGON BBC 22129        "
BBC2130          ,"WAGON, BULK BULK WAGON BBC 22130        "
BBC2131          ,"WAGON, BULK BULK WAGON BBC 22131        "
BBC2132          ,"WAGON, BULK BULK WAGON BBC 22132        "
BBC2133          ,"WAGON, BULK BULK WAGON BBC 22133        "
BBC2134          ,"WAGON, BULK BULK WAGON BBC 22134        "
BBC2135          ,"WAGON, BULK BULK WAGON BBC 22135        "
BBC2136          ,"WAGON, BULK BULK WAGON BBC 22136        "
BBC2137          ,"WAGON, BULK BULK WAGON BBC 22137        "
BBC2138          ,"WAGON, BULK BULK WAGON BBC 22138        "
BBC2139          ,"WAGON, BULK BULK WAGON BBC 22139        "
BBC2140          ,"WAGON, BULK BULK WAGON BBC 22140        "
BBC2141          ,"WAGON, BULK BULK WAGON BBC 22141        "
BBC2142          ,"WAGON, BULK BULK WAGON BBC 22142        "
BBC2143          ,"WAGON, BULK BULK WAGON BBC 22143        "
BBC2144          ,"WAGON, BULK BULK WAGON BBC 22144        "
BBC2145          ,"WAGON, BULK BULK WAGON BBC 22145        "
BBC2146          ,"WAGON, BULK BULK WAGON BBC 22146        "
BBC2147          ,"WAGON, BULK BULK WAGON BBC 22147        "
BBC2148          ,"WAGON, BULK BULK WAGON BBC 22148        "
BBC2149          ,"WAGON, BULK BULK WAGON BBC 22149        "
BBC2150          ,"WAGON, BULK BULK WAGON BBC 22150        "
BBC2151          ,"WAGON, BULK BULK WAGON BBC 22151        "
BBC2152          ,"WAGON, BULK BULK WAGON BBC 22152        "
BBC2153          ,"WAGON, BULK BULK WAGON BBC 22153        "
BBC2154          ,"WAGON, BULK BULK WAGON BBC 22154        "
BBC2155          ,"WAGON, BULK BULK WAGON BBC 22155        "
BBC2156          ,"WAGON, BULK BULK WAGON BBC 22156        "
BBC2157          ,"WAGON, BULK BULK WAGON BBC 22157        "
BBC2158          ,"WAGON, BULK BULK WAGON BBC 22158        "
BBC2159          ,"WAGON, BULK BULK WAGON BBC 22159        "
BBC2160          ,"WAGON, BULK BULK WAGON BBC 22160        "
BBC2161          ,"WAGON, BULK BULK WAGON BBC 22161        "
BBC2162          ,"WAGON, BULK BULK WAGON BBC 22162        "
BBC2163          ,"WAGON, BULK BULK WAGON BBC 22163        "
NASSAN1          ,"LORRY, UTILITY TIPPER                   "
DL-450              ,LOCOMOTIVE SAN LOCOMOTIVE               
EPPLATE01           ,COLLECTING AND DISCHARGE PALTE          
EPPLATE02           ,COLLECTING AND DISCHARGE PALTE          
EPPLATE03           ,COLLECTING AND DISCHARGE PLATE          
EPPLATE04           ,COLLECTING AND DISCHARGE PLATE          
JBE2830             ,PICKUP JBE 2830                         
JCA5394             ,FORD TRACTOR JCA5394                    
JCH9184             ,"LOADER, FRONT, C CATERPILLAR 980 C      "
KAY7618             ,PAJERO KAY7618 Secondhand 2004          
KCQ1727             ,PICK UP MITSUBISHI TRITON KCQ1727       
KCU6719             ,FORKLIFT FOR MECH (3 TONNE) MODEL :7FD30
KL1ROLL01           ,KILN 1 SUPPORT ROLLER STATION #1        
KL1ROLL02           ,KILN 1 SUPPORT ROLLER STATION #2        
KL1ROLL03           ,KILN 1 SUPPORT ROLLER STATION #3        
KL2GBBS01           ,MAIN GEAR BOX KILN 1                    
KL2GBBS02           ,INCHING GEAR BOX KILN 2                 
KL2GENSET           ,"DIESEL DRIVE, VOLKSWAGAN                "
KL2ROLL01           ,KILN 1 SUPPORT ROLLER STATION #1        
KL2ROLL02           ,KILN 1 SUPPORT ROLLER STATION #2        
KL2ROLL03           ,KILN 1 SUPPORT ROLLER STATION #3        
KL2SHELL0           ,KILN 1 SHELL/NOSERING/TYRE/INLET/OULET  
KLBLOW01            ,BLOWER COMPONENT 41BBL01                
KLBLOW02            ,BLOWER COMPONENT 41BBL02                
KLBLOW03            ,BLOWER COMPONENT 41BBL03                
KLBLOW04            ,BLOWER COMPONENT 41BBL04                
KLBLOW05            ,BLOWER COMPONENT 41BBL05                
KLBLOW06            ,BLOWER COMPONENT 41BBL06                
KLBLOW07            ,BLOWER COMPONENT 43ABL01                
KLBLOW08            ,BLOWER COMPONENT 43ABL01                
KLBLOW09            ,BLOWER COMPONENT 43ABL03                
KLBLOW10            ,BLOWER COMPONENT 43ABL04                
KLBLOW11            ,BLOWER COMPONENT 43ABL0B                
KLBLOW12            ,BLOLWER COMPONENT 43BBL01               
KLBLOW13            ,BLOWER COMPONENT 43BBL02                
KLBLOW14            ,BLOWER COMPONENT 43BBL03                
KLBLOW15            ,BLOWER COMPONENT 43BBL0B                
KLBLOW16            ,BLOWER COMPONENT 471BL01                
KLBLOW17            ,BLOWER COMPENENT 48ABL01                
KLBLOW18            ,BLOWER COMPENENT 48ABL02                
KLBLOW19            ,BLOWER COMPONENT 48BBL01                
KLBLOW20            ,BLOWER COMPONENT 410BL01                
KLBLOW21            ,BLOWER COMPONENT 410BL02                
KLBLOW22            ,BLOWER COMPONENT 410BL03                
KLBLOW23            ,BLOWER COMPONENT 410BL04                
KLBLOW24            ,BLOWER COMPONENT 410BL05                
KLBLOW25            ,BLOWER COMPONENT 410BL06                
KLBLOW26            ,BLOWER COMPONENT 410BL07                
KLBLOW27            ,BLOWER COMPONENT 410BL08                
KLBLOW28            ,BLOWER COMPONENT FOR 430BL01            
KLBLOW29            ,BLOWER COMPONENT FOR 430BL02            
KLBLOW30            ,BLOWER COMPONENT FOR 430BL03            
KLBLOW31            ,BLOWER COMPONENT FOR 430BL0B            
KLBUCK01            ,BUCKET COMPONENT 41BBE01                
KLCOMP01            ,COMPRESSOR COMPONENT 41ACP01            
KLCOMP02            ,COMPRESSOR COMPONENT 41ACP02            
KLCOMP03            ,COMPRESSOR COMPONENT 41ACP03            
KLCOMP04            ,COMPRESSOR COMPONENT 41ACP04            
KLCOMP05            ,COMPRESSOR COMPONENT 41ACP05            
KLCOMP06            ,COMPRESSOR COMPONENT 41ACP01            
KLCOMP07            ,COMPRESSOR COMPONENT 41BCP01            
KLCOMP08            ,COMPRESSOR COMPONENT 43BCP01            
KLCOMP09            ,COMPRESSOR COMPONENT 461CP01            
KLCOMP10            ,COMPRESSOR COMPONENT 461CP02            
KLCOMP11            ,COMPRESSOR COMPONENT 48ACP01            
KLCOMP12            ,COMPRESSOR COMPONENT 48BCP02            
KLCOMP13            ,COMPRESSOR COMPONENT 410CP01            
KLCOMP14            ,COMPRESSOR COMPONENT 440CP01            
KLCOMP15            ,COMPRESSOR COMPONENT 460CP01            
KLCOMP16            ,COMPRESSOR COMPONENT 460CP02            
KLCOMP17            ,COMPRESSOR COMPONENT 460CP03            
KLCOMP18            ,COMPRESSOR COMPONENT 460CP04            
KLFMPANEL01         ,FLOW METER1 KILN FEED CONTROL PANEL     
KLFMPANEL02         ,FLOW METER2 KILN FEED CONTROL PANEL     
KLFN001             ,FAN IMPELLAR 42AFN01                    
KLFN002             ,FAN IMPELLAR 42BFN01                    
KLFN003             ,FAN IMPELLAR 42BFN02                    
KLFN004             ,FAN IMPELLAR 42CFN01                    
KLFN005             ,FAN COMPONENT 471FN01                   
KLFN006             ,FAN COMPONENT 471FN02                   
KLFN007             ,FAN COMPONENT FOR 471FN03               
KLFN008             ,FAN COMPONENT FOR 471FN04               
KLFN009             ,FAN COMPONENT FOR 471FN05               
KLFN010             ,FAN COMPONENT FOR 471FN06               
KLFN011             ,FAN COMPONENT FOR 471FN07               
KLFN012             ,FAN COMPONENT FOR 471FN08               
KLFN013             ,FAN COMPONENT FOR 471FN09               
KLFN014             ,FAN COMPONENT FOR 471FN0A               
KLFN015             ,FAN COMPONENT FOR 471FN0B               
KLFN016             ,FAN COMPONENT FOR 471FN0C               
KLFN017             ,FAN COMPONENT FOR 471FN0D               
KLFN018             ,IMPELLAR FAN 420FN01                    
KLFN019             ,IMPELLAR FAN 420FN02                    
KLFN020             ,IMPELLAR FAN 440FN01                    
KLFN021             ,IMPELLAR FAN 440FN1A                    
KLFN022             ,FAN IMPELLAR 470FN01                    
KLFN023             ,FAN IMPELLAR 470FN02                    
KLFN024             ,FAN IMPELLAR 470FN03                    
KLFN025             ,FAN IMPELLAR 470FN04                    
KLFN026             ,FAN IMPELLAR 470FN05                    
KLFN027             ,FAN IMPELLAR 470FN06                    
KLFN028             ,FAN IMPELLAR 470FN07                    
KLFN029             ,FAN IMPELLAR 470FN08                    
KLFN030             ,FAN IMPELLAR 470FN09                    
KLFN031             ,FAN IMPELLAR 470FN0C                    
KLFN032             ,FAN IMPELLAR 470FN0D                    
KLFN033             ,FAN IMPELLAR 470FN10                    
KLFN034             ,FAN IMPELLAR 470FN11                    
KLFN035             ,FAN IMPELLAR 470FN12                    
KLFN036             ,FAN IMPELLAR 470FN13                    
KLGATE01            ,GATE COMPONENT 43BMW01                  
KLGATE02            ,GATE COMPONENT 43BMW02                  
KLGBBS01            ,MAIN GEAR BOX KILN 1                    
KLGBMS01            ,MAIN GEAR 41BBE01                       
KLGBMS02            ,INCHING GEAR 41BBE01                    
KLGBMS03            ,INCHING GEAR BOX KILN 1                 
KLGBMS04            ,GEAR BOX 491AF01                        
KLGBMS05            ,GEAR BOX 491AF02                        
KLGBMS06            ,GEAR BOX 491BE01                        
KLGBMS07            ,INCHING GEARBOX FOR 491BE01             
KLGBMS08            ,GEAR BOX 491BE02                        
KLGBMS09            ,INCHING GEARBOX FOR 491BE02             
KLGBMS10            ,GEAR BOX 491CV01                        
KLGBMS11            ,GEARBOX MAIN -410BE01                   
KLGBMS12            ,GEARBOX MAIN -410BE02                   
KLGBMS13            ,GEARBOX INCHING -410BE02                
KLGBMS14            ,GEARBOX INCHING -410BE01                
KLGBMS15            ,GEARBOX MAIN -430BE01                   
KLGBMS16            ,GEARBOX INCHING -430BE01                
KLGBMS17            ,MAIN GEAR BOX 470AC02                   
KLGBMS18            ,MAIN GEAR BOX 470AC01                   
KLINV01             ,INVERTER DRIVE 42AFN01                  
KLINV02             ,INVERTER DRIVE 42BFN01                  
KLINV03             ,INVERTER PANEL FOR 461KL01              
KLINV04             ,INVERTER PANEL FOR 471GQ01              
KLINV05             ,INVERTER PANEL FOR 471GQ02              
KLINV06             ,INVERTER PANEL 420FN02                  
KLINV07             ,INVERTER 440FN01                        
KLINV08             ,INVERTER BABY IDF 440FN0A               
KLINV09             ,INVERTER PANEL FOR450KL01               
KLINV10             ,INVERTER PANEL FOR 470CC01              
KLINV11             ,INVERTER PANEL FOR 471CC02              
KLMOLV001           ,MOTOR FOR 41ACP01                       
KLMOLV002           ,MOTOR FOR 41ACP02                       
KLMOLV003           ,MOTOR FOR 41ACP03                       
KLMOLV004           ,MOTOR FOR 41ACP04                       
KLMOLV005           ,MOTOR FOR 41ACP05                       
KLMOLV006           ,MOTOR FOR 41ACP01                       
KLMOLV007           ,MOTOR 41AFN01                           
KLMOLV008           ,MOTOR 41AFN02                           
KLMOLV009           ,MOTOR 41AFN03                           
KLMOLV010           ,MOTOR 41AFN04                           
KLMOLV011           ,MOTOR 41AFN05                           
KLMOLV012           ,MAIN MOTOR 41BBE01                      
KLMOLV013           ,INCHING MOTOR 41BBE01                   
KLMOLV014           ,MOTOR FOR 41BBL01                       
KLMOLV015           ,MOTOR FOR 41BBL02                       
KLMOLV016           ,MOTOR FOR 41BBL03                       
KLMOLV017           ,MOTOR FOR 41BBL04                       
KLMOLV018           ,MOTOR FOR 41BBL05                       
KLMOLV0182          ,MOTOR FOR 440WP01                       
KLMOLV0183          ,MOTOR 450FN01                           
KLMOLV0189          ,MAIN MOTOR FOR 450KL1                   
KLMOLV019           ,MOTOR FOR 41BBL06                       
KLMOLV0190          ,INCHING MOTOR KILN 2                    
KLMOLV0191          ,MOTOR FOR 460CP01                       
KLMOLV0192          ,MOTOR FOR 460CP02                       
KLMOLV0193          ,MOTOR FOR 460CP03                       
KLMOLV0194          ,MOTOR FOR 460CP04                       
KLMOLV0195          ,"MTR COAL MEAL FEEDR1,5.5KW,1465RPM,415V "
KLMOLV0196          ,"MTR COAL MEAL FEEDR2,5.5KW,1465RPM,415V "
KLMOLV0197          ,MOTOR FOR 460FN01                       
KLMOLV0198          ,MOTOR FOR 460FN02                       
KLMOLV0199          ,MOTOR FOR 460FN03                       
KLMOLV020           ,MOTOR FOR 41BCP01                       
KLMOLV0200          ,MOTOR FOR 460RF01                       
KLMOLV0201          ,MOTOR FOR 460RF02                       
KLMOLV0202          ,MOTOR FOR 460RF03                       
KLMOLV0203          ,MOTOR FOR 460RF04                       
KLMOLV0204          ,MOTOR FOR 460RF05                       
KLMOLV0205          ,MOTOR FOR 460RF06                       
KLMOLV0206          ,MOTOR FOR 460RF07                       
KLMOLV0207          ,MOTOR FOR 470AC01                       
KLMOLV0208          ,MOTOR FOR 470AC02                       
KLMOLV0209          ,MOTOR FOR 470CC01                       
KLMOLV021           ,MOTOR FOR 41BFN01                       
KLMOLV0210          ,MOTOR FOR 470CC02                       
KLMOLV0211          ,MOTOR FOR 470FN01                       
KLMOLV0212          ,MOTOR FOR 470FN02                       
KLMOLV0213          ,MOTOR FOR 470FN03                       
KLMOLV0214          ,MOTOR FOR 470FN04                       
KLMOLV0215          ,MOTOR FOR 470FN05                       
KLMOLV0216          ,MOTOR FOR 470FN06                       
KLMOLV0217          ,MOTOR FOR 470FN08                       
KLMOLV0218          ,MOTOR FOR 470FN09                       
KLMOLV0219          ,MOTOR FOR 470FN0C                       
KLMOLV022           ,MOTOR FOR 41BFN02                       
KLMOLV0220          ,MOTOR FOR 470FN0D                       
KLMOLV0221          ,MOTOR FOR 470FN10                       
KLMOLV0222          ,MOTOR FOR 470FN11                       
KLMOLV0223          ,MOTOR FOR 470FN12                       
KLMOLV0224          ,MOTOR FOR 470FN13                       
KLMOLV0225          ,MOTOR FOR 470HC01                       
KLMOLV0226          ,MOTOR FOR 470RF03                       
KLMOLV0227          ,MOTOR FOR 470RF04                       
KLMOLV0228          ,MOTOR FOR 470SC01                       
KLMOLV0229          ,MOTOR FOR 470SC02                       
KLMOLV023           ,MOTOR FOR 41BFN03                       
KLMOLV0230          ,MOTOR FOR 470SC03                       
KLMOLV024           ,MOTOR FOR 41BFN04                       
KLMOLV025           ,MOTOR FOR 41BFN05                       
KLMOLV026           ,MOTOR FOR 41BFN06                       
KLMOLV027           ,MOTOR FOR 41BFN07                       
KLMOLV028           ,MOTOR FOR 41BFN08                       
KLMOLV029           ,MOTOR FOR 41BFN09                       
KLMOLV030           ,MOTOR FOR 41BFN0A                       
KLMOLV031           ,MOTOR FOR 41BFN0B                       
KLMOLV032           ,MOTOR FOR 41BFN0C                       
KLMOLV033           ,MOTOR FOR 41BRF01                       
KLMOLV034           ,MOTOR FOR 41BRF02                       
KLMOLV035           ,MOTOR FOR 42AFN01                       
KLMOLV036           ,MOTOR FOR 42ARF01                       
KLMOLV037           ,MOTOR FOR 42ASC01                       
KLMOLV038           ,MOTOR FOR 42AWP01                       
KLMOLV039           ,MOTOR FOR 42AWP02                       
KLMOLV040           ,MOTOR FOR 42BFN01                       
KLMOLV041           ,MOTOR FOR 42BRF01                       
KLMOLV042           ,MOTOR 42BSC01                           
KLMOLV043           ,MOTOR FOR 42BWP01                       
KLMOLV044           ,MOTOR FOR 42BWP02                       
KLMOLV045           ,MOTOR FOR 42BWP03                       
KLMOLV046           ,MOTOR FOR 43ABL01                       
